id,title,page_section,shelf,primary,primary_name,secondary,note
kawasaki,Kawasaki Disease,cv,fm peds,cv,Cardiovascular System,multi,
arf,Acute Rheumatic Fever,cv,fm peds,cv,Cardiovascular System,immune,
myocarditis,New Heart Failure in a Child,cv,fm peds,cv,Cardiovascular System,,
del22q11,22q11.2 Deletion Syndrome,cv,fm peds,newborn,Disorders of the Newborn & Congenital Disorders,immune,review: could be immune primary
bs-murmur-map,Murmur Man and Post-ToF Pulmonic Regurgitation,cv,fm,cv,Cardiovascular System,,
bs-shunt-timing,Congenital Shunts and the Transitional Clock,cv,peds,cv,Cardiovascular System,newborn,
copd,COPD: Which Interventions Improve Survival,pulm,fm,resp,Respiratory System,,
asthma-copd,Asthma vs. COPD,pulm,fm,resp,Respiratory System,,
cough,Chronic Cough,pulm,fm,resp,Respiratory System,,
pneumoconiosis,Occupational Lung Disease,pulm,fm,resp,Respiratory System,,
rhinitis,Allergic Rhinitis,pulm,fm,resp,Respiratory System,immune,
sinopulm-structural,Recurrent Sinopulmonary Infection,pulm,fm peds,resp,Respiratory System,immune,
hypoxemia-mech,Mechanisms of Hypoxemia,pulm,fm peds,resp,Respiratory System,,
abpa,When Antibiotics Fail in a Structural Lung,pulm,fm peds,resp,Respiratory System,immune,
scd-dyspnea,Chronic Dyspnea in Sickle Cell Disease,pulm,fm peds,resp,Respiratory System,heme,review: could be heme primary
airway,Pediatric Airway & Noisy Breathing,pulm,fm peds,resp,Respiratory System,,
mycoplasma,Pediatric Community-Acquired Pneumonia,pulm,fm peds,resp,Respiratory System,,
uri,Pediatric Upper Respiratory Infection,pulm,fm peds,resp,Respiratory System,,
asthma,Asthma: Severity Classification,pulm,fm peds,resp,Respiratory System,,
bpd,Bronchopulmonary Dysplasia,pulm,fm peds,resp,Respiratory System,newborn,
bs-nrd,Neonatal Respiratory Distress,pulm,peds,newborn,Disorders of the Newborn & Congenital Disorders,resp,
liver-preg,Liver Disease in Pregnancy,gi,fm,preg,"Pregnancy, Childbirth & the Puerperium",gi,
masld,MASLD / Metabolic Fatty Liver,gi,fm,gi,Gastrointestinal System,,
cholestasis,Cholestasis & the LFT Patterns,gi,fm,gi,Gastrointestinal System,,
zenker,Zenker Diverticulum,gi,fm,gi,Gastrointestinal System,,
infant-stool,"Infant Stool Complaints: Dyschezia, FPIAP & Secondary Lactase Deficiency",gi,fm peds,gi,Gastrointestinal System,,
fap,Familial Adenomatous Polyposis,gi,fm,gi,Gastrointestinal System,,
peutz-jeghers,Peutz-Jeghers Syndrome,gi,peds fm,gi,Gastrointestinal System,,
feeding-refusal,Toddler Food Refusal,gi,fm peds,gi,Gastrointestinal System,behav,review: could be behav primary
rlq-pain,Right Lower Quadrant Pain,gi,fm peds,gi,Gastrointestinal System,,
peds-constipation,Constipation in a Child,gi,fm peds,gi,Gastrointestinal System,,
cyclic-vomiting,Cyclic Vomiting Syndrome,gi,peds,gi,Gastrointestinal System,,
neonatal-jaundice,Neonatal Jaundice,gi,fm peds,newborn,Disorders of the Newborn & Congenital Disorders,gi,
neonatal-bowel,The Distended Abdomen in a Newborn or Infant,gi,peds,newborn,Disorders of the Newborn & Congenital Disorders,gi,
occult-gi-bleed,Occult GI Bleeding in a Child,gi,peds fm,gi,Gastrointestinal System,,
bs-galactosemia,The Sick Jaundiced Neonate with a Positive Screen,gi,peds,newborn,Disorders of the Newborn & Congenital Disorders,gi,
bs-impaction,Fecal Impaction & Overflow Diarrhea,gi,fm,gi,Gastrointestinal System,,
bs-tef,Tracheoesophageal Fistula with Esophageal Atresia,gi,peds,newborn,Disorders of the Newborn & Congenital Disorders,gi,
bs-umbilical,Umbilical Findings in a Newborn,gi,peds,newborn,Disorders of the Newborn & Congenital Disorders,,
bs-fat-soluble-vitamins,Fat-Soluble Vitamin Deficiency and Toxicity,gi,fm peds,multi,Multisystem Processes & Disorders,gi,review: nutrition coded as multisystem
bs-water-soluble-vitamins,Water-Soluble Vitamin Deficiency,gi,fm peds,multi,Multisystem Processes & Disorders,gi,review: nutrition coded as multisystem
bs-wilson,"Wilson Disease: Copper in the Liver, Brain and Eye",gi,fm peds,gi,Gastrointestinal System,neuro,
pyelo,Pyelonephritis: Route & Disposition,renal,fm,renal,Renal & Urinary System,,
bph,BPH & Acute Urinary Retention,renal,fm,repro_m,Male Reproductive System,renal,
nephropathy,Diabetic Nephropathy Screening,renal,fm,renal,Renal & Urinary System,endo,
hematuria,Hematuria,renal,fm peds,renal,Renal & Urinary System,,
scrotum,Acute Scrotum & Scrotal Mass,renal,fm peds,repro_m,Male Reproductive System,,
hypercalcemia,Hypercalcemia Workup,renal,fm,endo,Endocrine System,,
vur,Vesicoureteral Reflux,renal,fm peds,renal,Renal & Urinary System,,
peds-uti-recurrent,Recurrent Urinary Infection in a Child,renal,fm peds,renal,Renal & Urinary System,,
enuresis,Nocturnal Enuresis,renal,fm peds,renal,Renal & Urinary System,behav,
polyuria,Polyuria: Water or Solute,renal,fm peds,renal,Renal & Urinary System,endo,
peds-aki,NSAID Prerenal AKI in a Child,renal,fm peds,renal,Renal & Urinary System,,
nephrotic-child,Nephrotic Syndrome in a Child,renal,fm peds,renal,Renal & Urinary System,,
bs-puv,Posterior Urethral Valves and Potter Sequence,renal,peds,renal,Renal & Urinary System,newborn,
bs-pyelo-organism,Pyelonephritis: Naming the Organism,renal,fm,renal,Renal & Urinary System,,
bs-incontinence,Incontinence & the Postvoid Residual,renal,fm,renal,Renal & Urinary System,,
bs-enuresis,Primary Monosymptomatic Enuresis: Management,renal,fm peds,renal,Renal & Urinary System,behav,
bs-nephritic,Acute Nephritic Syndrome in a Child,renal,peds,renal,Renal & Urinary System,,
bs-abdominal-mass,Abdominal Mass in a Young Child,renal,fm peds,renal,Renal & Urinary System,multi,
aq-puffy-eyes,Child with Puffy Eyes,renal,fm peds,renal,Renal & Urinary System,,
thyroid,Thyroid Mimics & Discriminators,endo,fm,endo,Endocrine System,,
levo,Levothyroxine Titration,endo,fm,endo,Endocrine System,,
gynecomastia,Gynecomastia vs. Male Breast Cancer,endo,fm,repro_m,Male Reproductive System,endo,review: breast
prolactin,Hyperprolactinemia,endo,fm,endo,Endocrine System,,
osteoporosis,Osteoporosis Screening,endo,fm,msk,Musculoskeletal System,endo,
preg-thyroid,Levothyroxine in Pregnancy,endo,fm,preg,"Pregnancy, Childbirth & the Puerperium",endo,
congenital-hypothyroid,Congenital Hypothyroidism,endo,fm peds,endo,Endocrine System,newborn,
tumor-syndromes,Inherited Tumor Syndromes,endo,fm peds,multi,Multisystem Processes & Disorders,endo,review: inherited tumor syndromes
precocious-puberty,Precocious Puberty,endo,fm peds,endo,Endocrine System,,
homocystinuria,Marfanoid Habitus: Homocystinuria,endo,fm peds,multi,Multisystem Processes & Disorders,msk,review: inborn error of metabolism
bs-dexa-highrisk,DEXA: When Screening Starts Early,endo,fm,msk,Musculoskeletal System,gen,
bs-dm-bundle,Diabetes: the Annual Care Bundle,endo,fm,endo,Endocrine System,,
bs-short-stature,Short Stature and Growth Velocity,endo,peds,endo,Endocrine System,gen,
anemia-thrombocytopenia,Anemia with Thrombocytopenia,heme,fm peds,heme,Blood & Lymphoreticular System,renal,
drug-hemolysis,Drug-Induced Immune Hemolysis,heme,fm peds,heme,Blood & Lymphoreticular System,,
dipstick-mismatch,Hemoglobinuria: the Dipstick-Microscopy Mismatch,heme,fm peds,heme,Blood & Lymphoreticular System,renal,
microcytic-anemia,Microcytic Anemia: Iron First,heme,fm peds,heme,Blood & Lymphoreticular System,,
factor-inhibitor,Hemophilia A Inhibitor,heme,fm peds,heme,Blood & Lymphoreticular System,,
transfusion,Transfusion Reactions,heme,fm,heme,Blood & Lymphoreticular System,,
bs-leukemia,Pediatric Acute Lymphoblastic Leukemia,heme,peds,heme,Blood & Lymphoreticular System,,
bs-spherocytosis,Hereditary Spherocytosis,heme,peds,heme,Blood & Lymphoreticular System,,
bs-sickle-trait,Sickle Cell Trait versus Disease,heme,fm peds,heme,Blood & Lymphoreticular System,,
aq-bruising,Bruising and Purpura in a Child,heme,fm peds,heme,Blood & Lymphoreticular System,,
tb,Tuberculosis,id,fm,resp,Respiratory System,multi,
meningitis,Bacterial Meningitis,id,fm peds,neuro,Nervous System & Special Senses,multi,
hiv-vax,Vaccines in HIV,id,fm,immune,Immune System,gen,
dtap,DTaP: Contraindication vs. Precaution,id,fm peds,gen,"General Principles, Normal Age-Related Findings, Care of the Well Patient",immune,
cervicitis,Acute Cervicitis,id,fm,repro_f,Female Reproductive System & Breast,,
ig-panel,The Immunoglobulin Panel,id,fm peds,immune,Immune System,,
rmsf,Tick-Borne Fever and Rash,id,fm peds,multi,Multisystem Processes & Disorders,,
lymphadenitis,Enlarged Lymph Nodes: Reading the Pattern,id,fm peds,heme,Blood & Lymphoreticular System,multi,review: lymph nodes coded lymphoreticular
herpangina,Oral Vesicles in a Child,id,fm peds,multi,Multisystem Processes & Disorders,gi,review: oral viral infection
cgd,Recurrent Abscesses and Granulomas,id,fm peds,immune,Immune System,,
bs-pta,Peritonsillar Abscess and the Deep Neck Spaces,id,fm peds,resp,Respiratory System,,
bs-torch,Congenital CMV and the TORCH Discriminations,id,peds,newborn,Disorders of the Newborn & Congenital Disorders,multi,
bs-neonatal-sepsis,Neonatal Sepsis and Its Mimics,id,peds,newborn,Disorders of the Newborn & Congenital Disorders,multi,
bs-fever-rash-arthralgia,"Fever, Rash and Joint Pain in a Child or Adolescent",id,fm peds,multi,Multisystem Processes & Disorders,msk,
bs-exanthems,Exanthems in a Child,id,fm peds,multi,Multisystem Processes & Disorders,skin,review: exanthems could be skin
bs-anaphylaxis,Anaphylaxis and Its Mimics,id,fm peds,immune,Immune System,,
bs-isolation,Isolation Precautions,id,fm peds,gen,"General Principles, Normal Age-Related Findings, Care of the Well Patient",multi,review: infection control
bs-foodborne,Foodborne Diarrhea: Source and Organism,id,fm peds,gi,Gastrointestinal System,multi,
bs-febrile-infant,The Febrile Infant — Finding the Source,id,peds,multi,Multisystem Processes & Disorders,newborn,
aq-infant-fever,Fever in an Infant,id,fm peds,multi,Multisystem Processes & Disorders,renal,
hearing,Hearing Loss & Otosclerosis,neuro,fm,neuro,Nervous System & Special Senses,,
redeye,The Red Eye,neuro,fm peds,neuro,Nervous System & Special Senses,,
cluster,Headache Types & Cluster Headache,neuro,fm,neuro,Nervous System & Special Senses,,
sellar-mass,Sellar and Suprasellar Masses,neuro,fm peds,neuro,Nervous System & Special Senses,endo,
peds-headache-imaging,Headache in a Child: What Earns Imaging,neuro,fm peds,neuro,Nervous System & Special Senses,,
cholesteatoma,Cholesteatoma and Chronic Ear Drainage,neuro,fm peds,neuro,Nervous System & Special Senses,,
febrile-seizure,Seizure with Fever in a Child,neuro,fm peds,neuro,Nervous System & Special Senses,,
cerebral-palsy,Cerebral Palsy and the MRI Pattern,neuro,fm peds,neuro,Nervous System & Special Senses,,
abrs-complications,Sinusitis with Intracranial Extension,neuro,fm peds,resp,Respiratory System,neuro,
vpshunt,VP Shunt Complications,neuro,fm peds,neuro,Nervous System & Special Senses,,
retinitis-pigmentosa,Night Blindness,neuro,fm peds,neuro,Nervous System & Special Senses,,
tics,Tics in a School-Age Child,neuro,fm peds,behav,Behavioral Health,neuro,review: tic disorders
bs-tethered,Tethered Cord and Closed Spinal Dysraphism,neuro,peds,neuro,Nervous System & Special Senses,newborn,
bs-reye,Cerebral Edema in a Child — Reye Syndrome,neuro,fm peds,neuro,Nervous System & Special Senses,gi,
bs-peds-stroke,Stroke in a Child or Adolescent,neuro,fm peds,neuro,Nervous System & Special Senses,,
bs-posterior-fossa,Posterior Fossa Localization,neuro,peds,neuro,Nervous System & Special Senses,,
aq-child-headache,Headache in a School-Age Child,neuro,peds,neuro,Nervous System & Special Senses,,
psoriasis,Scaly Rash & Psoriasis,derm,fm,skin,Skin & Subcutaneous Tissue,,
cellulitis,Cellulitis & the Depth Ladder,derm,fm,skin,Skin & Subcutaneous Tissue,,
footulcer,Diabetic Foot Ulcer,derm,fm,skin,Skin & Subcutaneous Tissue,endo,
eczemaherp,Atopic Dermatitis Complications,derm,fm peds,skin,Skin & Subcutaneous Tissue,,
peds-alopecia,Patchy Hair Loss in a Child,derm,fm peds,skin,Skin & Subcutaneous Tissue,,
neonatal-rash,Benign Neonatal Rashes,derm,fm peds,skin,Skin & Subcutaneous Tissue,newborn,
diaper-dermatitis,Diaper Dermatitis,derm,fm peds,skin,Skin & Subcutaneous Tissue,,
bs-scabies,Scabies,derm,fm peds,skin,Skin & Subcutaneous Tissue,,
preg-vax,Vaccines & Timing in Pregnancy,obgyn,fm,preg,"Pregnancy, Childbirth & the Puerperium",gen,
cervical,Cervical Cancer Screening,obgyn,fm,repro_f,Female Reproductive System & Breast,,
pmb,Postmenopausal Bleeding,obgyn,fm,repro_f,Female Reproductive System & Breast,,
ectopic,Ectopic Pregnancy,obgyn,fm,preg,"Pregnancy, Childbirth & the Puerperium",,
hpv,HPV Vaccination & Series Rules,obgyn,fm peds,gen,"General Principles, Normal Age-Related Findings, Care of the Well Patient",repro_f,
adolescent-aub,Adolescent Abnormal Uterine Bleeding,obgyn,fm,repro_f,Female Reproductive System & Breast,,
contraception,Contraception & DMPA,obgyn,fm,repro_f,Female Reproductive System & Breast,,
fibroids,Uterine Fibroids,obgyn,fm,repro_f,Female Reproductive System & Breast,,
teratogens,Teratogenic Exposures,obgyn,fm,preg,"Pregnancy, Childbirth & the Puerperium",,
primary-amenorrhea,Primary Amenorrhea,obgyn,fm,repro_f,Female Reproductive System & Breast,endo,
bs-cervical-gate,Cervical Screening: the Age-21 Floor,obgyn,fm,repro_f,Female Reproductive System & Breast,,
bs-tdap-preg,Tdap in Pregnancy at 10 Weeks,obgyn,fm,preg,"Pregnancy, Childbirth & the Puerperium",gen,
bs-pid,Pelvic Inflammatory Disease,obgyn,fm peds,repro_f,Female Reproductive System & Breast,,
smoking,Ranking Preventive Interventions,prev,fm,gen,"General Principles, Normal Age-Related Findings, Care of the Well Patient",,
lipid-screen,Lipid Screening & Vaccine Eligibility by Condition,prev,fm,gen,"General Principles, Normal Age-Related Findings, Care of the Well Patient",cv,
preop,Preoperative Thresholds,prev,fm,gen,"General Principles, Normal Age-Related Findings, Care of the Well Patient",,
elder,Elder Abuse & Mandated Reporting,prev,fm,social,"Social Sciences (ethics, consent, physician-patient relationship)",,
vegan,The Vegan Diet,prev,fm,multi,Multisystem Processes & Disorders,gen,review: nutrition
bs-adolescent-confid,Adolescent Confidentiality,prev,fm peds,social,"Social Sciences (ethics, consent, physician-patient relationship)",,
bs-adolescent-vax,Adolescent Immunization and the Age Platform,prev,fm peds,gen,"General Principles, Normal Age-Related Findings, Care of the Well Patient",,
