nbme_id,fingerprint,same_as,form,sort,brief,item_id,bp_system,task,result,time,miss_cause,note
peds-cms-aa91d7,aa91d7708d,peds-cms-aa91d7,Pediatrics CMS,covered,rmsf,q_f301e03be41b7aa167b0,multi,dx,incorrect,0:54,unknown,"s31 repeat of the s28 item; already linked, nothing added."
peds-cms-56f5bb,56f5bbfbe3,,Pediatrics CMS,new angle,growth,q_907cd6543effc4c0dec6,gen,dx,incorrect,0:32,unknown,"s31 backfill: global delay read from a normal-or-delayed grid across gross motor, fine motor and language."
peds-cms-bd082e,bd082ea01b,,Pediatrics CMS,new angle,cyanotic-chd,q_1dafa1911a5a64278be2,cv,dx,incorrect,2:39,unknown,s31 backfill: hypercyanotic spell inside a febrile stomach illness; murmur fades as saturation falls.
peds-cms-e43eb8,e43eb88d89,,Pediatrics CMS,new angle,neonatal-jaundice,q_68047f53bb547e1428b5,newborn,found,incorrect,0:20,unknown,"s31 backfill: G6PD keyed as the category enzyme deficiency; maternal sulfonamide trigger, Coombs negative."
peds-cms-f52102,f52102d3bf,,Pediatrics CMS,new,bs-puncture-osteomyelitis,q_a5490882ad76890a739b,msk,found,incorrect,0:49,unknown,s31 new brief: nail through a sneaker; S. aureus and a water-borne organism as decoys.
peds-cms-03615c,03615c9d56,,Pediatrics CMS,new angle,bs-torch,q_f04e1e07cd1dacf1c640,newborn,found,incorrect,1:13,unknown,"s31 backfill: organism named by day of life and CSF pattern, no vesicles given."
peds-cms-42aa4f,42aa4fc095,,Pediatrics CMS,new angle,kawasaki,q_5c5ebd26ef5fe11337d5,cv,found,incorrect,4:06,unknown,s31 backfill: untreated Kawasaki illness sits in the past history; tachypnea keyed to heart failure.
peds-cms-80d5b8,80d5b8a4c5,,Pediatrics CMS,new,bs-acute-myositis,q_5b60f193e9f29040ad78,msk,dx,incorrect,0:45,unknown,s31 new brief: calf pain after an influenza-like illness; Kawasaki under its formal name as a decoy.
peds-cms-dd1427,dd14275ada,,Pediatrics CMS,new angle,diaper-dermatitis,q_02665e6eb263aaa1aecd,skin,mgmt,incorrect,1:24,unknown,s31 backfill: topical nystatin; abuse STI regimen as decoy. Related fact fix in newborn-hormone (00_links).
peds-cms-d74882,d74882ed03,,Pediatrics CMS,new angle,tumor-syndromes,q_791ab466c5d3371ac2d4,multi,found,incorrect,0:48,unknown,s31 backfill: NF1 left unnamed; increased-risk lead-in keyed to optic nerve glioma.
peds-cms-123615,1236155277,,Pediatrics CMS,new,bs-imprinting,q_5816cb03e02b1ea37486,neuro,found,correct,1:19,,"s31 new brief: maternal chromosome 15 deletion against the paternal one, MECP2 and trisomies."
peds-cms-ae7cd7,ae7cd759d6,,Pediatrics CMS,conflict,ig-panel,q_6f1f0484f7cc597f3a69,immune,dx,incorrect,1:24,unknown,s31 conflict: page said IgM low in HIV; NBME panel keyed as HIV has every isotype high. HIV row and trapline now read polyclonal hypergammaglobulinemia.
peds-cms-dd721b,dd721b647f,,Pediatrics CMS,new angle,bs-fat-soluble-vitamins,q_44a4c5430977368dd3fc,multi,mgmt,correct,0:31,,s31 backfill: lead-in grants vitamin K; fresh frozen plasma against other blood products.
peds-cms-9a2ab1,9a2ab14e11,,Pediatrics CMS,new,bs-adolescent-bp,q_77d42ebe5ed7ab37a6ff,cv,mgmt,incorrect,0:54,unknown,s31 new brief: key is the measurement method. Dated definition in the source (95th percentile at all ages); page states AAP 2017 thresholds.
peds-cms-f627e3,f627e3263b,,Pediatrics CMS,new angle,bs-abdominal-mass,q_d9b8dd343b4ca836c41d,renal,dx,incorrect,0:44,unknown,s31 backfill: liver mass with very high AFP; Wilms listed as nephroblastoma.
peds-cms-42419d,42419d1d00,,Pediatrics CMS,new,bs-genital-ulcer,q_dbcda06c6427d41d6c22,repro_f,found,incorrect,0:52,unknown,"s31 new brief: painless chancre keyed as spirochete among organism classes. Primary, not secondary as the intake table said."
peds-cms-6b35bd,6b35bd50d3,,Pediatrics CMS,new,bs-isolated-proteinuria,q_723914e6f02a0387e1d2,renal,mgmt,incorrect,0:34,unknown,"s31 new brief: key is the split urinalysis at bedtime and on waking; imaging, steroids and biopsy as decoys."
peds-cms-e52ce6,e52ce6c99d,,Pediatrics CMS,new angle,limp,q_b599f8e62f2070a52991,msk,found,incorrect,0:25,unknown,s31 backfill: poorly developed acetabulum; SCFE and rickets written as mechanisms.
peds-cms-5c434b,5c434b6f9b,,Pediatrics CMS,new angle,cervicitis,q_424c322e1a1fb44f35a6,repro_f,mgmt,incorrect,0:47,unknown,s31 backfill: routine NAAT screening; one planted cue per decoy.
peds-cms-8e3e76,8e3e76654e,,Pediatrics CMS,new angle,teratogens,q_25742c68c19ec216b8d0,preg,dx,correct,0:51,,"s34 backfill: FAS without an exposure history; short palpebral fissures against Down syndrome upslanting fissures; genetic syndromes and toxoplasmosis as decoys."
peds-cms-acdeb0,acdeb09151,,Pediatrics CMS,new angle,bs-fat-soluble-vitamins,q_f1da4cfcf0b5965ee660,multi,found,incorrect,0:25,unknown,"s34 backfill: rickets lab asked as the value that is increased; key is an enzyme activity (alkaline phosphatase) among minerals and ALT."
peds-cms-b095ba,b095bad2fb,,Pediatrics CMS,new angle,aq-bruising,q_ee5e56588e265abea6ad,heme,found,incorrect,0:25,unknown,"s34 backfill: ITP keyed as a mechanism class, increased platelet destruction; child abuse decoy against petechiae, platelets 1,000 and normal PT and aPTT."
