pass,source,nid,item_id,topic,brief,result,time,miss_cause,note
s31,nbme,,q_723914e6f02a0387e1d2,Orthostatic proteinuria,bs-isolated-proteinuria,incorrect,0:34,unknown,Coverage id peds-cms-6b35bd.
s31,nbme,,q_b599f8e62f2070a52991,DDH presenting late: mechanism,limp,incorrect,0:25,unknown,Coverage id peds-cms-e52ce6.
s31,nbme,,q_424c322e1a1fb44f35a6,Chlamydia and gonorrhea screening under 25,cervicitis,incorrect,0:47,unknown,Coverage id peds-cms-5c434b.
s34,nbme,,q_25742c68c19ec216b8d0,Fetal alcohol syndrome without an exposure history,teratogens,correct,0:51,,Coverage id peds-cms-8e3e76.
s34,nbme,,q_f1da4cfcf0b5965ee660,Rickets: alkaline phosphatase increased,bs-fat-soluble-vitamins,incorrect,0:25,unknown,Coverage id peds-cms-acdeb0.
s34,nbme,,q_ee5e56588e265abea6ad,ITP: increased platelet destruction,aq-bruising,incorrect,0:25,unknown,Coverage id peds-cms-b095ba.
s35,nbme,,q_a2533eb69947cf65b1ad,"Virilizing adrenal tumor: high DHEAS, normal testosterone",precocious-puberty,incorrect,0:29,unknown,Coverage id peds-cms-d90531.
s35,nbme,,q_5754bf5b284e1769cd62,Posterior urethral valves in a well newborn,bs-puv,correct,1:25,,Coverage id peds-cms-723033.
s35,nbme,,q_5e35f1b7a625a2f602f5,Rotavirus vaccine at the 4-month visit,bs-infant-vax,incorrect,1:53,unknown,Coverage id peds-cms-ce7f06.
s35,nbme,,q_d30a376c44efb37fe1ce,Distal renal tubular acidosis as the cause of hypokalemia,bs-distal-rta,incorrect,2:52,unknown,Coverage id peds-cms-0354fa.
s35,nbme,,q_fb94648142ed51749518,Peripheral pulmonary stenosis keyed as pulmonary stenosis,ped-murmur,correct,1:28,,Coverage id peds-cms-c4694e.
s35,nbme,,q_9777dcb58c677902b75f,SCFE: internal fixation,scfe,incorrect,0:35,unknown,Coverage id peds-cms-3d1862.
s35,nbme,,q_3f80feff189643e5acb8,Mycoplasma pneumonia in a school-age child,mycoplasma,correct,0:52,,Coverage id peds-cms-0efcba.
s35,nbme,,q_bfc284022b65919965b9,Bilateral flank masses in a well newborn: polycystic kidney disease,bs-abdominal-mass,incorrect,0:27,unknown,Coverage id peds-cms-6821fe.
s35,nbme,,q_5336e0130137c7e63afd,Hordeolum: warm compresses,bs-eyelid-lump,incorrect,0:41,unknown,Coverage id peds-cms-7a44ef.
s35,nbme,,q_ef221864398f38009057,Early emphysema in a teenage smoker: alpha-1 antitrypsin deficiency,asthma-copd,incorrect,0:17,unknown,Coverage id peds-cms-44f3d3.
s35,nbme,,q_1f7b49f7314459b8b98f,CGD: impaired leukocyte microbicidal activity,cgd,incorrect,0:46,unknown,Coverage id peds-cms-252cd2.
s35,nbme,,q_23d551c586e63e046a7a,Rash that starts on the face: MMR would have prevented it,bs-exanthems,incorrect,0:10,unknown,Coverage id peds-cms-9fb189.
