id,title,section,kind,shelf,items,types
neonatal-bowel,The Distended Abdomen in a Newborn or Infant,gi,topic,peds,24,dx:9 next:6 test:5 mech:2 avoid:1 screen:1
occult-gi-bleed,Occult GI Bleeding in a Child,gi,topic,peds fm,11,test:4 next:3 dx:2 mech:1 avoid:1
bs-galactosemia,The Sick Jaundiced Neonate with a Positive Screen,gi,bs,peds,5,dx:3 mech:1 claim:1
bs-impaction,Fecal Impaction &amp; Overflow Diarrhea,gi,bs,fm,7,dx:5 next:2
bs-tef,Tracheoesophageal Fistula with Esophageal Atresia,gi,bs,peds,10,next:6 dx:3 screen:1
bs-umbilical,Umbilical Findings in a Newborn,gi,bs,peds,8,next:5 test:2 dx:1
bs-fat-soluble-vitamins,Fat-Soluble Vitamin Deficiency and Toxicity,gi,bs,fm peds,9,mech:3 test:2 next:2 dx:2
bs-water-soluble-vitamins,Water-Soluble Vitamin Deficiency,gi,bs,fm peds,9,dx:4 next:3 test:1 screen:1
bs-wilson,"Wilson Disease: Copper in the Liver, Brain and Eye",gi,bs,fm peds,7,next:2 mech:1 test:1 dx:1 screen:1 avoid:1
pyelo,Pyelonephritis: Route &amp; Disposition,renal,topic,fm,9,next:7 mech:1 avoid:1
bph,BPH &amp; Acute Urinary Retention,renal,topic,fm,6,dx:4 next:2
nephropathy,Diabetic Nephropathy Screening,renal,topic,fm,6,screen:3 next:2 test:1
hematuria,Hematuria,renal,topic,fm peds,10,dx:4 test:4 next:2
scrotum,Acute Scrotum &amp; Scrotal Mass,renal,topic,fm peds,9,dx:7 next:2
hypercalcemia,Hypercalcemia Workup,renal,topic,fm,6,dx:4 next:2
vur,Vesicoureteral Reflux,renal,topic,fm peds,10,next:5 mech:3 screen:1 dx:1
peds-uti-recurrent,Recurrent Urinary Infection in a Child,renal,topic,fm peds,13,next:9 dx:2 mech:1 avoid:1
enuresis,Nocturnal Enuresis,renal,topic,fm peds,6,dx:5 next:1
polyuria,Polyuria: Water or Solute,renal,topic,fm peds,10,next:5 dx:2 avoid:1 test:1 mech:1
peds-aki,NSAID Prerenal AKI in a Child,renal,topic,fm peds,7,dx:5 next:2
nephrotic-child,Nephrotic Syndrome in a Child,renal,topic,fm peds,11,dx:4 test:2 mech:2 next:2 avoid:1
bs-puv,Posterior Urethral Valves and Potter Sequence,renal,bs,peds,14,dx:9 next:3 mech:2
bs-pyelo-organism,Pyelonephritis: Naming the Organism,renal,bs,fm,7,mech:3 dx:3 next:1
bs-incontinence,Incontinence &amp; the Postvoid Residual,renal,bs,fm,9,dx:8 screen:1
bs-enuresis,Primary Monosymptomatic Enuresis: Management,renal,bs,fm peds,9,next:5 dx:4
bs-nephritic,Acute Nephritic Syndrome in a Child,renal,bs,peds,6,next:3 dx:1 test:1 avoid:1
bs-abdominal-mass,Abdominal Mass in a Young Child,renal,bs,fm peds,6,dx:4 test:2
aq-puffy-eyes,Child with Puffy Eyes,renal,aq,fm peds,17,dx:8 next:3 test:2 claim:1 mech:1 avoid:1 screen:1
thyroid,Thyroid Mimics &amp; Discriminators,endo,topic,fm,11,dx:7 next:3 test:1
levo,Levothyroxine Titration,endo,topic,fm,6,next:6
gynecomastia,Gynecomastia vs. Male Breast Cancer,endo,topic,fm,6,dx:5 claim:1
prolactin,Hyperprolactinemia,endo,topic,fm,9,dx:6 next:2 mech:1
osteoporosis,Osteoporosis Screening,endo,topic,fm,8,screen:4 next:3 dx:1
preg-thyroid,Levothyroxine in Pregnancy,endo,topic,fm,5,next:3 dx:1 mech:1
congenital-hypothyroid,Congenital Hypothyroidism,endo,topic,fm peds,10,next:5 dx:2 test:1 avoid:1 mech:1
tumor-syndromes,Inherited Tumor Syndromes,endo,topic,fm peds,22,dx:10 next:5 mech:4 screen:3
precocious-puberty,Precocious Puberty,endo,topic,fm peds,10,next:6 dx:2 test:1 avoid:1
homocystinuria,Marfanoid Habitus: Homocystinuria,endo,topic,fm peds,7,dx:3 mech:1 next:1 test:1 avoid:1
bs-dexa-highrisk,DEXA: When Screening Starts Early,endo,bs,fm,9,next:5 screen:4
bs-dm-bundle,Diabetes: the Annual Care Bundle,endo,bs,fm,8,next:4 screen:3 dx:1
bs-short-stature,Short Stature and Growth Velocity,endo,bs,peds,9,dx:3 test:3 next:2 mech:1
anemia-thrombocytopenia,Anemia with Thrombocytopenia,heme,topic,fm peds,10,next:5 mech:2 dx:2 avoid:1
drug-hemolysis,Drug-Induced Immune Hemolysis,heme,topic,fm peds,10,next:6 test:1 avoid:1 dx:1 mech:1
dipstick-mismatch,Hemoglobinuria: the Dipstick-Microscopy Mismatch,heme,topic,fm peds,7,dx:3 next:2 test:1 mech:1
microcytic-anemia,Microcytic Anemia: Iron First,heme,topic,fm peds,13,dx:5 test:3 next:3 mech:2
factor-inhibitor,Hemophilia A Inhibitor,heme,topic,fm peds,18,next:6 test:5 dx:4 mech:2 avoid:1
transfusion,Transfusion Reactions,heme,topic,fm,8,next:4 dx:2 mech:1 avoid:1
bs-leukemia,Pediatric Acute Lymphoblastic Leukemia,heme,bs,peds,20,dx:11 next:3 test:2 mech:2 avoid:1 stage:1
bs-spherocytosis,Hereditary Spherocytosis,heme,bs,peds,3,dx:1 mech:1 test:1
bs-sickle-trait,Sickle Cell Trait versus Disease,heme,bs,fm peds,15,dx:13 claim:1 mech:1
aq-bruising,Bruising and Purpura in a Child,heme,aq,fm peds,17,dx:5 test:5 next:5 claim:1 avoid:1
tb,Tuberculosis,id,topic,fm,4,next:2 screen:2
meningitis,Bacterial Meningitis,id,topic,fm peds,15,dx:6 test:3 next:3 mech:3
hiv-vax,Vaccines in HIV,id,topic,fm,6,next:6
dtap,DTaP: Contraindication vs. Precaution,id,topic,fm peds,6,stage:6
cervicitis,Acute Cervicitis,id,topic,fm,5,next:3 dx:2
ig-panel,The Immunoglobulin Panel,id,topic,fm peds,25,next:9 dx:9 avoid:2 mech:2 test:2 screen:1
rmsf,Tick-Borne Fever and Rash,id,topic,fm peds,11,dx:5 next:3 avoid:1 mech:1 test:1
lymphadenitis,Enlarged Lymph Nodes: Reading the Pattern,id,topic,fm peds,19,dx:11 next:3 mech:3 avoid:1 test:1
herpangina,Oral Vesicles in a Child,id,topic,fm peds,9,dx:5 next:2 mech:1 avoid:1
cgd,Recurrent Abscesses and Granulomas,id,topic,fm peds,18,dx:8 next:4 mech:3 test:2 avoid:1
bs-pta,Peritonsillar Abscess and the Deep Neck Spaces,id,bs,fm peds,11,dx:8 mech:1 test:1 next:1
bs-torch,Congenital CMV and the TORCH Discriminations,id,bs,peds,20,dx:10 next:5 mech:2 test:2 screen:1
bs-neonatal-sepsis,Neonatal Sepsis and Its Mimics,id,bs,peds,8,next:4 dx:2 avoid:1 mech:1
bs-fever-rash-arthralgia,"Fever, Rash and Joint Pain in a Child or Adolescent",id,bs,fm peds,8,dx:5 mech:1 next:1 test:1
bs-exanthems,Exanthems in a Child,id,bs,fm peds,10,dx:5 next:5
bs-anaphylaxis,Anaphylaxis and Its Mimics,id,bs,fm peds,11,next:4 mech:3 dx:2 test:1 avoid:1
bs-isolation,Isolation Precautions,id,bs,fm peds,7,next:6 avoid:1
bs-foodborne,Foodborne Diarrhea: Source and Organism,id,bs,fm peds,7,next:3 dx:2 mech:1 avoid:1
bs-febrile-infant,The Febrile Infant — Finding the Source,id,bs,peds,9,test:3 next:3 dx:2 avoid:1
aq-infant-fever,Fever in an Infant,id,aq,fm peds,18,next:7 test:4 dx:3 claim:2 avoid:2
hearing,Hearing Loss &amp; Otosclerosis,neuro,topic,fm,9,dx:8 mech:1
redeye,The Red Eye,neuro,topic,fm peds,11,dx:9 mech:1 avoid:1
cluster,Headache Types &amp; Cluster Headache,neuro,topic,fm,6,dx:5 next:1
sellar-mass,Sellar and Suprasellar Masses,neuro,topic,fm peds,10,next:5 dx:2 avoid:1 screen:1 mech:1
peds-headache-imaging,Headache in a Child: What Earns Imaging,neuro,topic,fm peds,13,next:7 test:3 dx:2 avoid:1
cholesteatoma,Cholesteatoma and Chronic Ear Drainage,neuro,topic,fm peds,10,next:6 dx:2 mech:1 avoid:1
febrile-seizure,Seizure with Fever in a Child,neuro,topic,fm peds,14,next:10 dx:1 mech:1 avoid:1 claim:1
cerebral-palsy,Cerebral Palsy and the MRI Pattern,neuro,topic,fm peds,12,next:5 dx:4 mech:1 avoid:1 screen:1
abrs-complications,Sinusitis with Intracranial Extension,neuro,topic,fm peds,12,dx:8 next:2 mech:1 test:1
vpshunt,VP Shunt Complications,neuro,topic,fm peds,11,next:8 mech:1 dx:1 test:1
retinitis-pigmentosa,Night Blindness,neuro,topic,fm peds,8,dx:4 next:2 mech:1 screen:1
tics,Tics in a School-Age Child,neuro,topic,fm peds,8,next:4 dx:2 mech:1 avoid:1
bs-tethered,Tethered Cord and Closed Spinal Dysraphism,neuro,bs,peds,10,dx:9 next:1
bs-reye,Cerebral Edema in a Child — Reye Syndrome,neuro,bs,fm peds,10,dx:7 mech:2 claim:1
bs-peds-stroke,Stroke in a Child or Adolescent,neuro,bs,fm peds,8,dx:5 test:1 next:1 mech:1
bs-posterior-fossa,Posterior Fossa Localization,neuro,bs,peds,9,dx:3 next:3 test:2 mech:1
aq-child-headache,Headache in a School-Age Child,neuro,aq,peds,17,dx:9 next:3 test:2 mech:1 claim:1 screen:1
psoriasis,Scaly Rash &amp; Psoriasis,derm,topic,fm,11,dx:7 next:2 test:1 avoid:1
cellulitis,Cellulitis &amp; the Depth Ladder,derm,topic,fm,11,mech:6 dx:3 next:2
footulcer,Diabetic Foot Ulcer,derm,topic,fm,7,dx:6 next:1
eczemaherp,Atopic Dermatitis Complications,derm,topic,fm peds,9,dx:7 next:2
peds-alopecia,Patchy Hair Loss in a Child,derm,topic,fm peds,14,next:5 dx:4 mech:2 avoid:1 test:1 screen:1
neonatal-rash,Benign Neonatal Rashes,derm,topic,fm peds,13,dx:7 next:6
diaper-dermatitis,Diaper Dermatitis,derm,topic,fm peds,8,next:4 dx:2 mech:1 avoid:1
bs-scabies,Scabies,derm,bs,fm peds,8,dx:5 next:1 claim:1 mech:1
preg-vax,Vaccines &amp; Timing in Pregnancy,obgyn,topic,fm,10,next:6 screen:3 dx:1
cervical,Cervical Cancer Screening,obgyn,topic,fm,6,next:4 screen:2
pmb,Postmenopausal Bleeding,obgyn,topic,fm,6,next:4 dx:2
ectopic,Ectopic Pregnancy,obgyn,topic,fm,4,next:3 dx:1
hpv,HPV Vaccination &amp; Series Rules,obgyn,topic,fm peds,6,screen:4 next:2
adolescent-aub,Adolescent Abnormal Uterine Bleeding,obgyn,topic,fm,10,next:6 test:2 dx:2
contraception,Contraception &amp; DMPA,obgyn,topic,fm,10,next:6 avoid:1 test:1 dx:1 claim:1
fibroids,Uterine Fibroids,obgyn,topic,fm,9,next:6 dx:3
teratogens,Teratogenic Exposures,obgyn,topic,fm,8,dx:5 next:1 avoid:1 screen:1
primary-amenorrhea,Primary Amenorrhea,obgyn,topic,fm,9,next:4 dx:4 mech:1
bs-cervical-gate,Cervical Screening: the Age-21 Floor,obgyn,bs,fm,11,next:6 screen:5
bs-tdap-preg,Tdap in Pregnancy at 10 Weeks,obgyn,bs,fm,10,next:5 screen:4 claim:1
bs-pid,Pelvic Inflammatory Disease,obgyn,bs,fm peds,9,next:6 dx:2 screen:1
smoking,Ranking Preventive Interventions,prev,topic,fm,6,next:4 claim:1 screen:1
lipid-screen,Lipid Screening &amp; Vaccine Eligibility by Condition,prev,topic,fm,6,screen:6
preop,Preoperative Thresholds,prev,topic,fm,6,next:5 dx:1
elder,Elder Abuse &amp; Mandated Reporting,prev,topic,fm,6,next:5 claim:1
vegan,The Vegan Diet,prev,topic,fm,5,dx:3 screen:2
bs-adolescent-confid,Adolescent Confidentiality,prev,bs,fm peds,11,next:11
bs-adolescent-vax,Adolescent Immunization and the Age Platform,prev,bs,fm peds,9,next:6 screen:2 mech:1
